node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
Anjulie,0.450282,0.379221,2,Supernatural - Anjulie,created,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,artist,-1
Supernatural,0.486005,0.356592,1,Supernatural - Zomboy,played,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,track_basic,-1
Zomboy,0.523553,0.378194,2,Supernatural - Zomboy,played,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,set_artist,1
Nirvana,0.541656,0.246034,1,Nirvana - Smells Like Teen Spirit,created,Martin Solveig: Nirvana - Smells Like Teen Spirit,artist,-1
Smells Like Teen Spirit,0.527629,0.298768,2,Nirvana - Smells Like Teen Spirit,created,Martin Solveig: Nirvana - Smells Like Teen Spirit,track_basic,-1
Slow Down ,0.597927,0.307274,1,Slow Down  - Spanker,created,Yellow Claw: DJ Snake & Yellow Claw & Spanker - Slow Down (Acappella),track_basic,-1
Spanker,0.649546,0.27581,2,Slow Down  - Spanker,created,Yellow Claw: DJ Snake & Yellow Claw & Spanker - Slow Down (Acappella),artist,-1
Slow Down ,0.597927,0.307274,1,Slow Down  - DJ Snake,created,Yellow Claw: DJ Snake & Yellow Claw & Spanker - Slow Down (Acappella),track_basic,-1
DJ Snake,0.533038,0.334862,2,Slow Down  - DJ Snake,created,Yellow Claw: DJ Snake & Yellow Claw & Spanker - Slow Down (Acappella),artist,-1
Slow Down ,0.597927,0.307274,1,Slow Down  - Yellow Claw,created & played,Yellow Claw: DJ Snake & Yellow Claw & Spanker - Slow Down (Acappella),track_basic,-1
Yellow Claw,0.57106,0.338601,2,Slow Down  - Yellow Claw,created & played,Yellow Claw: DJ Snake & Yellow Claw & Spanker - Slow Down (Acappella),set_artist,9
Da Tweekaz,0.320931,0.317506,1,Da Tweekaz - #Tweekay16,created,Kayzo: Da Tweekaz - #Tweekay16,artist,-1
#Tweekay16,0.381753,0.32308,2,Da Tweekaz - #Tweekay16,created,Kayzo: Da Tweekaz - #Tweekay16,track_basic,-1
Nasty,0.624786,0.403566,1,Nasty - Datsik,created & played,Datsik: Datsik & Virtual Riot - Nasty,track_basic,-1
Datsik,0.624021,0.377918,2,Nasty - Datsik,created & played,Datsik: Datsik & Virtual Riot - Nasty,set_artist,8
Nasty,0.624786,0.403566,1,Nasty - Virtual Riot,created,Datsik: Datsik & Virtual Riot - Nasty,track_basic,-1
Virtual Riot,0.572853,0.391883,2,Nasty - Virtual Riot,created,Datsik: Datsik & Virtual Riot - Nasty,artist,-1
Every Night,0.595258,0.441077,1,Every Night - Gastly,played,Gastly: Ghastly - Every Night,track_basic,-1
Gastly,0.56223,0.411731,2,Every Night - Gastly,played,Gastly: Ghastly - Every Night,set_artist,1
Every Night,0.595258,0.441077,1,Every Night - Ghastly,created,Gastly: Ghastly - Every Night,track_basic,-1
Ghastly,0.588333,0.404862,2,Every Night - Ghastly,created,Gastly: Ghastly - Every Night,artist,-1
Lily Elise,0.340883,0.394409,1,Lily Elise - Hurricane ,created,DILLON FRANCIS: Dillon Francis feat. Lily Elise - Hurricane (Acappella),artist,-1
Hurricane ,0.395892,0.371666,2,Lily Elise - Hurricane ,created,DILLON FRANCIS: Dillon Francis feat. Lily Elise - Hurricane (Acappella),track_basic,-1
Drowning,0.56756,0.522272,1,Drowning - Excision,created & played,Excision: Excision feat. Akylla - Drowning,track_basic,-1
Excision,0.553416,0.438642,2,Drowning - Excision,created & played,Excision: Excision feat. Akylla - Drowning,set_artist,1
Drowning,0.56756,0.522272,1,Drowning - Akylla,created,Excision: Excision feat. Akylla - Drowning,track_basic,-1
Akylla,0.576657,0.581087,2,Drowning - Akylla,created,Excision: Excision feat. Akylla - Drowning,artist,-1
End Of The Night,0.516867,0.35773,1,End Of The Night - NGHTMRE,created,Ookay: Ghastly & NGHTMRE - End Of The Night,track_basic,-1
NGHTMRE,0.477369,0.35708,2,End Of The Night - NGHTMRE,created,Ookay: Ghastly & NGHTMRE - End Of The Night,set_artist,1
End Of The Night,0.516867,0.35773,1,End Of The Night - Galantis,played,Galantis: Ghastly & NGHTMRE - End Of The Night,track_basic,-1
Galantis,0.445765,0.278193,2,End Of The Night - Galantis,played,Galantis: Ghastly & NGHTMRE - End Of The Night,set_artist,1
End Of The Night,0.516867,0.35773,1,End Of The Night - Ghastly,created,Ookay: Ghastly & NGHTMRE - End Of The Night,track_basic,-1
Ghastly,0.588333,0.404862,2,End Of The Night - Ghastly,created,Ookay: Ghastly & NGHTMRE - End Of The Night,artist,-1
End Of The Night,0.516867,0.35773,1,End Of The Night - Ookay,played,Ookay: Ghastly & NGHTMRE - End Of The Night,track_basic,-1
Ookay,0.536061,0.37073,2,End Of The Night - Ookay,played,Ookay: Ghastly & NGHTMRE - End Of The Night,set_artist,1
End Of The Night,0.516867,0.35773,1,End Of The Night - Gastly,played,Gastly: Ghastly & NGHTMRE - End Of The Night,track_basic,-1
Gastly,0.56223,0.411731,2,End Of The Night - Gastly,played,Gastly: Ghastly & NGHTMRE - End Of The Night,set_artist,1
All Of The Lights ,0.562639,0.388939,1,All Of The Lights  - Rihanna,created,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),track_basic,-1
